data directory: ../MolNet-data/
threshold: 4.5
number of epochs: 300
batch_size 4
number of data loader workers: 4
neural network size: 16
--------------------------------------------------------
generating training dataset...
folds:  [2, 3, 4, 5]
class name to integer map:  {'control': 0, 'nucleotide': 1}
getting data from following folders:  ['../MolNet-data/control/fold_2', '../MolNet-data/control/fold_3', '../MolNet-data/control/fold_4', '../MolNet-data/control/fold_5', '../MolNet-data/nucleotide/fold_2', '../MolNet-data/nucleotide/fold_3', '../MolNet-data/nucleotide/fold_4', '../MolNet-data/nucleotide/fold_5']
folder classes:  [0, 0, 0, 0, 1, 1, 1, 1]
lengths of the folders:  [389, 389, 389, 389, 311, 311, 310, 310]
--------------------------------------------------------
generating validation dataset...
folds:  [1]
class name to integer map:  {'control': 0, 'nucleotide': 1}
getting data from following folders:  ['../MolNet-data/control/fold_1', '../MolNet-data/nucleotide/fold_1']
folder classes:  [0, 1]
lengths of the folders:  [390, 311]
Epoch: 001, Train Loss: 1.4184213, Train Acc: 0.5521801, Val Loss: 0.8136505, Val Acc: 0.5463623
Epoch: 002, Train Loss: 0.6675073, Train Acc: 0.5864904, Val Loss: 1.0171789, Val Acc: 0.7061341
Epoch: 003, Train Loss: 0.6394267, Train Acc: 0.6340243, Val Loss: 0.7862817, Val Acc: 0.7075606
Epoch: 004, Train Loss: 0.6138116, Train Acc: 0.6543960, Val Loss: 0.6717501, Val Acc: 0.7360913
Epoch: 005, Train Loss: 0.6140186, Train Acc: 0.6558256, Val Loss: 0.6957057, Val Acc: 0.6932953
Epoch: 006, Train Loss: 0.6092790, Train Acc: 0.6679771, Val Loss: 0.6279683, Val Acc: 0.7203994
Epoch: 007, Train Loss: 0.6217486, Train Acc: 0.6476054, Val Loss: 0.6450884, Val Acc: 0.6804565
Epoch: 008, Train Loss: 0.6160880, Train Acc: 0.6554682, Val Loss: 0.5561724, Val Acc: 0.7061341
Epoch: 009, Train Loss: 0.6125079, Train Acc: 0.6726233, Val Loss: 0.5533155, Val Acc: 0.7303852
Epoch: 010, Train Loss: 0.6073095, Train Acc: 0.6558256, Val Loss: 0.6468704, Val Acc: 0.6661912
Epoch: 011, Train Loss: 0.6166414, Train Acc: 0.6611866, Val Loss: 0.5825023, Val Acc: 0.6975749
Epoch: 012, Train Loss: 0.6120151, Train Acc: 0.6736955, Val Loss: 0.5763296, Val Acc: 0.7146933
Epoch: 013, Train Loss: 0.6075199, Train Acc: 0.6819157, Val Loss: 0.5572078, Val Acc: 0.7089872
Epoch: 014, Train Loss: 0.6041367, Train Acc: 0.6654753, Val Loss: 0.5461646, Val Acc: 0.7161198
Epoch: 015, Train Loss: 0.6029165, Train Acc: 0.6665475, Val Loss: 0.5943111, Val Acc: 0.7218260
Epoch: 016, Train Loss: 0.5981127, Train Acc: 0.6958542, Val Loss: 0.5720556, Val Acc: 0.7075606
Epoch: 017, Train Loss: 0.5884734, Train Acc: 0.6844174, Val Loss: 0.5611622, Val Acc: 0.7018545
Epoch: 018, Train Loss: 0.5969363, Train Acc: 0.6890636, Val Loss: 0.8997559, Val Acc: 0.7004280
Epoch: 019, Train Loss: 0.6061632, Train Acc: 0.6711937, Val Loss: 0.5952418, Val Acc: 0.7146933
Epoch: 020, Train Loss: 0.6024077, Train Acc: 0.6736955, Val Loss: 0.5681686, Val Acc: 0.7032810
Epoch: 021, Train Loss: 0.5950412, Train Acc: 0.6862044, Val Loss: 0.5400433, Val Acc: 0.7346648
Epoch: 022, Train Loss: 0.5741221, Train Acc: 0.7069335, Val Loss: 0.6353246, Val Acc: 0.7432240
Epoch: 023, Train Loss: 0.5769269, Train Acc: 0.6990708, Val Loss: 0.5518420, Val Acc: 0.7218260
Epoch: 024, Train Loss: 0.5751367, Train Acc: 0.6804861, Val Loss: 0.6088179, Val Acc: 0.7118402
Epoch: 025, Train Loss: 0.5779706, Train Acc: 0.6708363, Val Loss: 0.6984569, Val Acc: 0.7132668
Epoch: 026, Train Loss: 0.5990324, Train Acc: 0.6665475, Val Loss: 0.5486960, Val Acc: 0.7146933
Epoch: 027, Train Loss: 0.6039112, Train Acc: 0.6733381, Val Loss: 0.5459529, Val Acc: 0.7346648
Epoch: 028, Train Loss: 0.5840311, Train Acc: 0.6862044, Val Loss: 0.5660625, Val Acc: 0.7246790
Epoch: 029, Train Loss: 0.5852200, Train Acc: 0.6826305, Val Loss: 0.5372564, Val Acc: 0.7389444
Epoch: 030, Train Loss: 0.5866030, Train Acc: 0.6929950, Val Loss: 0.5735631, Val Acc: 0.7118402
Epoch: 031, Train Loss: 0.5774856, Train Acc: 0.6940672, Val Loss: 0.8270056, Val Acc: 0.7203994
Epoch: 032, Train Loss: 0.5705907, Train Acc: 0.6972838, Val Loss: 0.5527290, Val Acc: 0.7375178
Epoch: 033, Train Loss: 0.5776530, Train Acc: 0.6876340, Val Loss: 0.5462919, Val Acc: 0.7289586
Epoch: 034, Train Loss: 0.5831368, Train Acc: 0.7047891, Val Loss: 0.5512014, Val Acc: 0.7075606
Epoch: 035, Train Loss: 0.5770177, Train Acc: 0.6990708, Val Loss: 0.5465148, Val Acc: 0.7360913
Epoch: 036, Train Loss: 0.5751175, Train Acc: 0.6979986, Val Loss: 0.5406594, Val Acc: 0.7261056
Epoch: 037, Train Loss: 0.5775650, Train Acc: 0.6919228, Val Loss: 0.6008043, Val Acc: 0.7132668
Epoch: 038, Train Loss: 0.5694095, Train Acc: 0.7090779, Val Loss: 0.5384550, Val Acc: 0.7446505
Epoch: 039, Train Loss: 0.5673109, Train Acc: 0.6976412, Val Loss: 0.5830978, Val Acc: 0.7360913
Epoch: 040, Train Loss: 0.5611604, Train Acc: 0.7094353, Val Loss: 62.1559037, Val Acc: 0.7403709
Epoch: 041, Train Loss: 0.5768643, Train Acc: 0.7022873, Val Loss: 0.5726291, Val Acc: 0.7004280
Epoch: 042, Train Loss: 0.5628130, Train Acc: 0.7090779, Val Loss: 0.6493912, Val Acc: 0.7403709
Epoch: 043, Train Loss: 0.5737916, Train Acc: 0.7112223, Val Loss: 0.5391740, Val Acc: 0.7018545
Epoch: 044, Train Loss: 0.5656859, Train Acc: 0.7094353, Val Loss: 0.5447114, Val Acc: 0.7275321
Epoch: 045, Train Loss: 0.5560326, Train Acc: 0.7180129, Val Loss: 0.5677687, Val Acc: 0.7118402
Epoch: 046, Train Loss: 0.5553864, Train Acc: 0.7140815, Val Loss: 0.5686819, Val Acc: 0.7132668
Epoch: 047, Train Loss: 0.5633994, Train Acc: 0.7030021, Val Loss: 0.9790069, Val Acc: 0.7532097
Epoch: 048, Train Loss: 0.5651778, Train Acc: 0.7183703, Val Loss: 0.5699912, Val Acc: 0.7446505
Epoch: 049, Train Loss: 0.5602295, Train Acc: 0.7040743, Val Loss: 0.6091071, Val Acc: 0.7389444
Epoch: 050, Train Loss: 0.5629312, Train Acc: 0.7105075, Val Loss: 0.5988608, Val Acc: 0.6847361
Epoch: 051, Train Loss: 0.5735897, Train Acc: 0.6979986, Val Loss: 0.5839673, Val Acc: 0.7318117
Epoch: 052, Train Loss: 0.5545400, Train Acc: 0.7019299, Val Loss: 0.5605424, Val Acc: 0.7318117
Epoch: 053, Train Loss: 0.5421386, Train Acc: 0.7330236, Val Loss: 0.6100815, Val Acc: 0.7460770
Epoch: 054, Train Loss: 0.5583106, Train Acc: 0.7037169, Val Loss: 0.5935239, Val Acc: 0.7261056
Epoch: 055, Train Loss: 0.5499897, Train Acc: 0.7169407, Val Loss: 0.5261008, Val Acc: 0.7332382
Epoch: 056, Train Loss: 0.5554606, Train Acc: 0.7215868, Val Loss: 0.5475291, Val Acc: 0.7389444
Epoch: 057, Train Loss: 0.5597968, Train Acc: 0.7169407, Val Loss: 0.5256176, Val Acc: 0.7289586
Epoch: 058, Train Loss: 0.5464177, Train Acc: 0.7090779, Val Loss: 0.6294185, Val Acc: 0.7303852
Epoch: 059, Train Loss: 0.5509580, Train Acc: 0.7158685, Val Loss: 0.6031601, Val Acc: 0.7275321
Epoch: 060, Train Loss: 0.5517641, Train Acc: 0.7119371, Val Loss: 0.5657513, Val Acc: 0.7146933
Epoch: 061, Train Loss: 0.5565988, Train Acc: 0.7147963, Val Loss: 0.5908920, Val Acc: 0.7403709
Epoch: 062, Train Loss: 0.5525634, Train Acc: 0.7155111, Val Loss: 0.5837377, Val Acc: 0.7175464
Epoch: 063, Train Loss: 0.5495541, Train Acc: 0.7262330, Val Loss: 0.5068723, Val Acc: 0.7617689
Epoch: 064, Train Loss: 0.5618115, Train Acc: 0.7026447, Val Loss: 0.5879021, Val Acc: 0.7417974
Epoch: 065, Train Loss: 0.5558428, Train Acc: 0.7137241, Val Loss: 0.5846902, Val Acc: 0.7261056
Epoch: 066, Train Loss: 0.5375412, Train Acc: 0.7326662, Val Loss: 0.5239464, Val Acc: 0.7574893
Epoch: 067, Train Loss: 0.5572054, Train Acc: 0.7190851, Val Loss: 0.5206044, Val Acc: 0.7517832
Epoch: 068, Train Loss: 0.5431666, Train Acc: 0.7223016, Val Loss: 0.5204613, Val Acc: 0.7318117
Epoch: 069, Train Loss: 0.5439007, Train Acc: 0.7219442, Val Loss: 0.5394028, Val Acc: 0.7475036
Epoch: 070, Train Loss: 0.5545348, Train Acc: 0.7162259, Val Loss: 0.5097160, Val Acc: 0.7717546
Epoch: 071, Train Loss: 0.5483012, Train Acc: 0.7290922, Val Loss: 0.4994694, Val Acc: 0.7546362
Epoch: 072, Train Loss: 0.5536006, Train Acc: 0.7190851, Val Loss: 0.5435747, Val Acc: 0.7617689
Epoch: 073, Train Loss: 0.5399113, Train Acc: 0.7197999, Val Loss: 0.5238192, Val Acc: 0.7503566
Epoch: 074, Train Loss: 0.5350939, Train Acc: 0.7158685, Val Loss: 0.5494590, Val Acc: 0.7460770
Epoch: 075, Train Loss: 0.5310384, Train Acc: 0.7319514, Val Loss: 0.5216238, Val Acc: 0.7403709
Epoch: 076, Train Loss: 0.5363997, Train Acc: 0.7312366, Val Loss: 0.4968623, Val Acc: 0.7503566
Epoch: 077, Train Loss: 0.5315342, Train Acc: 0.7348106, Val Loss: 0.5538445, Val Acc: 0.7175464
Epoch: 078, Train Loss: 0.5437626, Train Acc: 0.7130093, Val Loss: 0.5745249, Val Acc: 0.7446505
Epoch: 079, Train Loss: 0.5385471, Train Acc: 0.7180129, Val Loss: 0.5466933, Val Acc: 0.7246790
Epoch: 080, Train Loss: 0.5478386, Train Acc: 0.7240886, Val Loss: 0.5147210, Val Acc: 0.7403709
Epoch: 081, Train Loss: 0.5325564, Train Acc: 0.7165833, Val Loss: 0.5365674, Val Acc: 0.7417974
Epoch: 082, Train Loss: 0.5362028, Train Acc: 0.7294496, Val Loss: 0.5297865, Val Acc: 0.6990014
Epoch: 083, Train Loss: 0.5346221, Train Acc: 0.7212294, Val Loss: 0.5250871, Val Acc: 0.7475036
Epoch: 084, Train Loss: 0.5343810, Train Acc: 0.7290922, Val Loss: 0.5516233, Val Acc: 0.7218260
Epoch: 085, Train Loss: 0.5364514, Train Acc: 0.7237312, Val Loss: 0.5467208, Val Acc: 0.7360913
Epoch: 086, Train Loss: 0.5334898, Train Acc: 0.7237312, Val Loss: 0.6040508, Val Acc: 0.7246790
Epoch: 087, Train Loss: 0.5329954, Train Acc: 0.7133667, Val Loss: 0.5829488, Val Acc: 0.7403709
Epoch: 088, Train Loss: 0.5451725, Train Acc: 0.7290922, Val Loss: 0.5242096, Val Acc: 0.7346648
Epoch: 089, Train Loss: 0.5462533, Train Acc: 0.7273052, Val Loss: 0.5435109, Val Acc: 0.7104137
Epoch: 090, Train Loss: 0.5347724, Train Acc: 0.7237312, Val Loss: 0.5197107, Val Acc: 0.7203994
Epoch: 091, Train Loss: 0.5389491, Train Acc: 0.7312366, Val Loss: 0.5130751, Val Acc: 0.7517832
Epoch: 092, Train Loss: 0.5284273, Train Acc: 0.7269478, Val Loss: 0.5232089, Val Acc: 0.7446505
Epoch: 093, Train Loss: 0.5299319, Train Acc: 0.7344532, Val Loss: 0.5979174, Val Acc: 0.7417974
Epoch: 094, Train Loss: 0.5325350, Train Acc: 0.7265904, Val Loss: 0.5164409, Val Acc: 0.7560628
Epoch: 095, Train Loss: 0.5260509, Train Acc: 0.7319514, Val Loss: 0.5149801, Val Acc: 0.7375178
Epoch: 096, Train Loss: 0.5247950, Train Acc: 0.7348106, Val Loss: 0.6175446, Val Acc: 0.7303852
Epoch: 097, Train Loss: 0.5278930, Train Acc: 0.7283774, Val Loss: 0.5153043, Val Acc: 0.7546362
Epoch: 098, Train Loss: 0.5283854, Train Acc: 0.7255182, Val Loss: 0.5756887, Val Acc: 0.7375178
Epoch: 099, Train Loss: 0.5324221, Train Acc: 0.7340958, Val Loss: 0.5513000, Val Acc: 0.7489301
Epoch: 100, Train Loss: 0.5294607, Train Acc: 0.7323088, Val Loss: 0.5818454, Val Acc: 0.7417974
Epoch: 101, Train Loss: 0.5345505, Train Acc: 0.7140815, Val Loss: 0.7024135, Val Acc: 0.7432240
Epoch: 102, Train Loss: 0.5227178, Train Acc: 0.7319514, Val Loss: 0.5328510, Val Acc: 0.7360913
Epoch: 103, Train Loss: 0.5278989, Train Acc: 0.7262330, Val Loss: 0.7259353, Val Acc: 0.7389444
Epoch: 104, Train Loss: 0.5277522, Train Acc: 0.7283774, Val Loss: 0.5435183, Val Acc: 0.7360913
Epoch: 105, Train Loss: 0.5384250, Train Acc: 0.7212294, Val Loss: 0.5660169, Val Acc: 0.7460770
Epoch: 106, Train Loss: 0.5302783, Train Acc: 0.7355254, Val Loss: 0.5081522, Val Acc: 0.7517832
Epoch: 107, Train Loss: 0.5188954, Train Acc: 0.7294496, Val Loss: 0.5333246, Val Acc: 0.7061341
Epoch: 108, Train Loss: 0.5264906, Train Acc: 0.7294496, Val Loss: 0.6133283, Val Acc: 0.7417974
Epoch: 109, Train Loss: 0.5322016, Train Acc: 0.7269478, Val Loss: 0.5433170, Val Acc: 0.7432240
Epoch: 110, Train Loss: 0.5197699, Train Acc: 0.7340958, Val Loss: 0.5231419, Val Acc: 0.7631954
Epoch: 111, Train Loss: 0.5282916, Train Acc: 0.7426733, Val Loss: 0.4966118, Val Acc: 0.7589158
Epoch: 112, Train Loss: 0.5209775, Train Acc: 0.7441029, Val Loss: 0.5096313, Val Acc: 0.7303852
Epoch: 113, Train Loss: 0.5294967, Train Acc: 0.7398142, Val Loss: 0.5070673, Val Acc: 0.7574893
Epoch: 114, Train Loss: 0.5220533, Train Acc: 0.7362402, Val Loss: 0.5142513, Val Acc: 0.7560628
Epoch: 115, Train Loss: 0.5232125, Train Acc: 0.7362402, Val Loss: 0.5208727, Val Acc: 0.7475036
Epoch: 116, Train Loss: 0.5193198, Train Acc: 0.7394568, Val Loss: 0.5953813, Val Acc: 0.7532097
Epoch: 117, Train Loss: 0.5112073, Train Acc: 0.7458899, Val Loss: 0.5140801, Val Acc: 0.7446505
Epoch: 118, Train Loss: 0.5166678, Train Acc: 0.7323088, Val Loss: 0.4988850, Val Acc: 0.7360913
Epoch: 119, Train Loss: 0.5185945, Train Acc: 0.7351680, Val Loss: 0.6895138, Val Acc: 0.7389444
Epoch: 120, Train Loss: 0.5272721, Train Acc: 0.7258756, Val Loss: 1.1912413, Val Acc: 0.7189729
Epoch: 121, Train Loss: 0.5285301, Train Acc: 0.7251608, Val Loss: 1.0928727, Val Acc: 0.7631954
Epoch: 122, Train Loss: 0.5221206, Train Acc: 0.7323088, Val Loss: 0.5252723, Val Acc: 0.7589158
Epoch: 123, Train Loss: 0.5220009, Train Acc: 0.7287348, Val Loss: 0.5436538, Val Acc: 0.7446505
Epoch: 124, Train Loss: 0.5171813, Train Acc: 0.7458899, Val Loss: 0.5885671, Val Acc: 0.7603424
Epoch: 125, Train Loss: 0.5324776, Train Acc: 0.7226590, Val Loss: 0.4993065, Val Acc: 0.7275321
Epoch: 126, Train Loss: 0.5200583, Train Acc: 0.7312366, Val Loss: 0.6867997, Val Acc: 0.7446505
Epoch: 127, Train Loss: 0.5140990, Train Acc: 0.7466047, Val Loss: 0.6334284, Val Acc: 0.7232525
Epoch: 128, Train Loss: 0.5071543, Train Acc: 0.7473195, Val Loss: 0.5594162, Val Acc: 0.7417974
Epoch: 129, Train Loss: 0.5131830, Train Acc: 0.7344532, Val Loss: 0.5062147, Val Acc: 0.7560628
Epoch: 130, Train Loss: 0.5149072, Train Acc: 0.7348106, Val Loss: 0.4954884, Val Acc: 0.7574893
Epoch: 131, Train Loss: 0.5262719, Train Acc: 0.7355254, Val Loss: 0.5412382, Val Acc: 0.7403709
Epoch: 132, Train Loss: 0.5223936, Train Acc: 0.7398142, Val Loss: 0.4983002, Val Acc: 0.7460770
Epoch: 133, Train Loss: 0.5157167, Train Acc: 0.7498213, Val Loss: 0.4988376, Val Acc: 0.7617689
Epoch: 134, Train Loss: 0.5132926, Train Acc: 0.7326662, Val Loss: 0.6157768, Val Acc: 0.7417974
Epoch: 135, Train Loss: 0.5237082, Train Acc: 0.7412437, Val Loss: 0.5146343, Val Acc: 0.7403709
Epoch: 136, Train Loss: 0.5199123, Train Acc: 0.7376698, Val Loss: 0.5306393, Val Acc: 0.7503566
Epoch: 137, Train Loss: 0.5109454, Train Acc: 0.7408863, Val Loss: 0.5137062, Val Acc: 0.7532097
Epoch: 138, Train Loss: 0.5172371, Train Acc: 0.7423159, Val Loss: 0.4866037, Val Acc: 0.7646220
Epoch: 139, Train Loss: 0.5105679, Train Acc: 0.7401716, Val Loss: 0.5243004, Val Acc: 0.7788873
Epoch: 140, Train Loss: 0.5126447, Train Acc: 0.7390994, Val Loss: 0.5137062, Val Acc: 0.7346648
Epoch: 141, Train Loss: 0.5149591, Train Acc: 0.7462473, Val Loss: 0.4995148, Val Acc: 0.7546362
Epoch: 142, Train Loss: 0.5074258, Train Acc: 0.7526805, Val Loss: 0.6032520, Val Acc: 0.7489301
Epoch: 143, Train Loss: 0.5054089, Train Acc: 0.7551823, Val Loss: 0.4949279, Val Acc: 0.7532097
Epoch: 144, Train Loss: 0.5003384, Train Acc: 0.7487491, Val Loss: 0.5322777, Val Acc: 0.7646220
Epoch: 145, Train Loss: 0.5145208, Train Acc: 0.7516083, Val Loss: 0.5063999, Val Acc: 0.7275321
Epoch: 146, Train Loss: 0.5063053, Train Acc: 0.7462473, Val Loss: 0.5166123, Val Acc: 0.7646220
Epoch: 147, Train Loss: 0.5017661, Train Acc: 0.7448177, Val Loss: 0.5087354, Val Acc: 0.7446505
Epoch: 148, Train Loss: 0.5059496, Train Acc: 0.7480343, Val Loss: 0.5554654, Val Acc: 0.7717546
Epoch: 149, Train Loss: 0.5073385, Train Acc: 0.7491065, Val Loss: 0.5457338, Val Acc: 0.7674750
Epoch: 150, Train Loss: 0.4991273, Train Acc: 0.7483917, Val Loss: 0.5402559, Val Acc: 0.7360913
Epoch: 151, Train Loss: 0.5084136, Train Acc: 0.7473195, Val Loss: 0.5191548, Val Acc: 0.7275321
Epoch: 152, Train Loss: 0.4938108, Train Acc: 0.7580415, Val Loss: 0.5063153, Val Acc: 0.7731812
Epoch: 153, Train Loss: 0.5018848, Train Acc: 0.7466047, Val Loss: 0.4832300, Val Acc: 0.7560628
Epoch: 154, Train Loss: 0.5012466, Train Acc: 0.7537527, Val Loss: 0.4802444, Val Acc: 0.7646220
Epoch: 155, Train Loss: 0.5057939, Train Acc: 0.7448177, Val Loss: 0.5053565, Val Acc: 0.7703281
Epoch: 156, Train Loss: 0.4997082, Train Acc: 0.7476769, Val Loss: 0.4753289, Val Acc: 0.7774608
Epoch: 157, Train Loss: 0.5042534, Train Acc: 0.7498213, Val Loss: 0.4957339, Val Acc: 0.7646220
Epoch: 158, Train Loss: 0.4944836, Train Acc: 0.7541101, Val Loss: 0.4800225, Val Acc: 0.7660485
Epoch: 159, Train Loss: 0.4908676, Train Acc: 0.7512509, Val Loss: 0.5288444, Val Acc: 0.7803138
Epoch: 160, Train Loss: 0.4942956, Train Acc: 0.7512509, Val Loss: 0.5231156, Val Acc: 0.7475036
Epoch: 161, Train Loss: 0.4926935, Train Acc: 0.7583989, Val Loss: 0.5310596, Val Acc: 0.7532097
Epoch: 162, Train Loss: 0.5037342, Train Acc: 0.7476769, Val Loss: 0.5063354, Val Acc: 0.7389444
Epoch: 163, Train Loss: 0.4961778, Train Acc: 0.7626876, Val Loss: 0.5120916, Val Acc: 0.7432240
Epoch: 164, Train Loss: 0.5137103, Train Acc: 0.7491065, Val Loss: 0.5058932, Val Acc: 0.7503566
