data directory: ../MolNet-data/
threshold: 4.5
number of epochs: 400
batch_size 4
number of data loader workers: 8
neural network size: 16
--------------------------------------------------------
generating training dataset...
folds:  [2, 3, 4, 5]
class name to integer map:  {'control': 0, 'nucleotide': 1}
getting data from following folders:  ['../MolNet-data/control/fold_2', '../MolNet-data/control/fold_3', '../MolNet-data/control/fold_4', '../MolNet-data/control/fold_5', '../MolNet-data/nucleotide/fold_2', '../MolNet-data/nucleotide/fold_3', '../MolNet-data/nucleotide/fold_4', '../MolNet-data/nucleotide/fold_5']
folder classes:  [0, 0, 0, 0, 1, 1, 1, 1]
lengths of the folders:  [389, 389, 389, 389, 311, 311, 310, 310]
--------------------------------------------------------
generating validation dataset...
folds:  [1]
class name to integer map:  {'control': 0, 'nucleotide': 1}
getting data from following folders:  ['../MolNet-data/control/fold_1', '../MolNet-data/nucleotide/fold_1']
folder classes:  [0, 1]
lengths of the folders:  [390, 311]
Epoch: 046, Train Loss: 0.5895931, Train Acc: 0.6890636, Val Loss: 0.5785294, Val Acc: 0.7503566
Epoch: 047, Train Loss: 0.6137153, Train Acc: 0.6690493, Val Loss: 0.5549194, Val Acc: 0.7432240
Epoch: 048, Train Loss: 0.6043068, Train Acc: 0.6769121, Val Loss: 0.5555475, Val Acc: 0.7446505
Epoch: 049, Train Loss: 0.5869039, Train Acc: 0.6929950, Val Loss: 0.5711396, Val Acc: 0.7232525
Epoch: 050, Train Loss: 0.5910740, Train Acc: 0.6890636, Val Loss: 0.5729917, Val Acc: 0.7075606
Epoch: 051, Train Loss: 0.5964941, Train Acc: 0.6801287, Val Loss: 0.5450627, Val Acc: 0.7503566
Epoch: 052, Train Loss: 0.5919917, Train Acc: 0.6840600, Val Loss: 0.5570657, Val Acc: 0.7246790
Epoch: 053, Train Loss: 0.5799814, Train Acc: 0.6962116, Val Loss: 0.6161187, Val Acc: 0.7375178
Epoch: 054, Train Loss: 0.5844054, Train Acc: 0.6969264, Val Loss: 50.5582423, Val Acc: 0.6947218
Epoch: 055, Train Loss: 0.5803608, Train Acc: 0.6976412, Val Loss: 23.4182041, Val Acc: 0.6847361
Epoch: 056, Train Loss: 0.5820333, Train Acc: 0.6940672, Val Loss: 0.5529399, Val Acc: 0.7118402
Epoch: 057, Train Loss: 0.5788726, Train Acc: 0.7065761, Val Loss: 0.5296380, Val Acc: 0.7489301
Epoch: 058, Train Loss: 0.5841075, Train Acc: 0.7051465, Val Loss: 0.5535864, Val Acc: 0.7332382
Epoch: 059, Train Loss: 0.5764195, Train Acc: 0.6801287, Val Loss: 0.5532457, Val Acc: 0.7232525
Epoch: 060, Train Loss: 0.5931380, Train Acc: 0.6819157, Val Loss: 0.5465315, Val Acc: 0.7246790
Epoch: 061, Train Loss: 0.5818884, Train Acc: 0.7037169, Val Loss: 0.6347986, Val Acc: 0.7146933
Epoch: 062, Train Loss: 0.5876927, Train Acc: 0.6962116, Val Loss: 0.5679217, Val Acc: 0.7360913
Epoch: 063, Train Loss: 0.5721130, Train Acc: 0.7044317, Val Loss: 0.8514424, Val Acc: 0.7189729
Epoch: 064, Train Loss: 0.6028875, Train Acc: 0.6829878, Val Loss: 0.5615314, Val Acc: 0.7175464
Epoch: 065, Train Loss: 0.5712038, Train Acc: 0.6890636, Val Loss: 5.4545407, Val Acc: 0.7389444
